# Energy Eigenvalues:,4.934802,19.739209,44.413221,78.956839,123.370071
# Position x, Psi 1,Psi 2,Psi 3,Psi 4,Psi 5
-2.090301003344481878e-01,1.120083852229969867e+00,1.367614736552716259e+00,5.497644042524203467e-01,-6.963561542285859884e-01,-1.400010524884416574e+00
-2.056856187290970195e-01,1.129093313333287441e+00,1.359747430562948445e+00,5.084268572277005349e-01,-7.474578152258812835e-01,-1.408577308312133347e+00
-2.023411371237458511e-01,1.137978127040987442e+00,1.351279698386306460e+00,4.665841927175966020e-01,-7.972393966452704372e-01,-1.413257417176525088e+00
-1.989966555183946273e-01,1.146737312505096140e+00,1.342215279134943540e+00,4.242779810310043920e-01,-8.456129796137707988e-01,-1.414037937696885239e+00
-1.956521739130434590e-01,1.155369902746495203e+00,1.332558175401228118e+00,3.815502530067499398e-01,-8.924931319137805463e-01,-1.410916716191176645e+00
-1.923076923076922906e-01,1.163874944761674746e+00,1.322312651490311408e+00,3.384434582563271565e-01,-9.377970588642753347e-01,-1.403902365018662390e+00
-1.889632107023411223e-01,1.172251499627939841e+00,1.311483231537129868e+00,2.950004229905954234e-01,-9.814447495438615165e-01,-1.393014238815898587e+00
-1.856187290969899539e-01,1.180498642607063164e+00,1.300074697508674326e+00,2.512643074723255876e-01,-1.023359118097458387e+00,-1.378282381091658237e+00
-1.822742474916387856e-01,1.188615463247374437e+00,1.288092087092409521e+00,2.072785631368689041e-01,-1.063466139877041305e+00,-1.359747441328148287e+00
-1.789297658862876172e-01,1.196601065484268700e+00,1.275540691471771515e+00,1.630868894235491251e-01,-1.101694982176010251e+00,-1.337460562817258447e+00
-1.755852842809364489e-01,1.204454567739129400e+00,1.262426052989731318e+00,1.187331903606644312e-01,-1.137978129326295829e+00,-1.311483241541339329e+00
-1.722408026755852806e-01,1.212175103016650768e+00,1.248753962701450559e+00,7.426153094723231263e-02,-1.172251501937266571e+00,-1.281887156487893309e+00
-1.688963210702341122e-01,1.219761819000550362e+00,1.234530457817116567e+00,2.971609337481153149e-02,-1.204454570065855767e+00,-1.248753971866393586e+00
-1.655518394648829439e-01,1.227213878147661807e+00,1.219761819036078609e+00,-1.485886686710591494e-02,-1.234530460118032691e+00,-1.212175111772970215e+00
-1.622073578595317755e-01,1.234530457780396606e+00,1.204454567773469265e+00,-5.941906495852336545e-02,-1.262426055292825700e+00,-1.172251507924729763e+00
