# Energy Eigenvalues:,4.740917,18.959082,42.640741,75.762981,118.293760,170.191932,231.407289,301.880609,381.543713,470.319533
# Position x, Psi 1,Psi 2,Psi 3,Psi 4,Psi 5,Psi 6,Psi 7,Psi 8,Psi 9,Psi 10
2.575757575757576801e-01,9.823302124013060244e-01,1.400025684180731034e+00,-1.012961624228939872e+00,4.355084695267753825e-02,9.510426920306865872e-01,-1.399094716530134175e+00,-1.042930350982568699e+00,-8.709860624471169044e-02,9.190877856291490566e-01,-1.397206690850713695e+00
2.676767676767677351e-01,9.508258419497115366e-01,1.395963691217897651e+00,-1.098637388336465959e+00,2.169124377865165321e-01,7.803240473634736052e-01,-1.362678800137973933e+00,-1.220315221232828984e+00,-4.287810160555894368e-01,5.910756513954652513e-01,-1.296838817093569629e+00
2.777777777777777901e-01,9.184016089041459052e-01,1.386500985923688090e+00,-1.174753574474238338e+00,3.869205069601909797e-01,5.907690664734824848e-01,-1.278937725511458678e+00,-1.340075392546380195e+00,-7.440496570290763279e-01,2.170434786377093972e-01,-1.072008413609925936e+00
2.878787878787879562e-01,8.850888816159971917e-01,1.371674177666595940e+00,-1.240647872562637755e+00,5.509466863257314051e-01,3.869534398892972571e-01,-1.150779778599571257e+00,-1.396555650846996066e+00,-1.013483349839285230e+00,-1.738872911519561415e-01,-7.442933051904712105e-01
2.979797979797980112e-01,8.509198879974441132e-01,1.351540628487398532e+00,-1.295746916278041505e+00,7.064550892786162217e-01,1.737970975845815058e-01,-9.826558212752440902e-01,-1.387088932884281256e+00,-1.220484439710444402e+00,-5.512795234993035365e-01,-3.451455511704482060e-01
3.080808080808081773e-01,8.159276843430437465e-01,1.326178231176583955e+00,-1.339571272087560327e+00,8.510415162120292809e-01,-4.355455380449198971e-02,-7.804047151121328296e-01,-1.312122268051157503e+00,-1.352301245172972566e+00,-8.857501689921184473e-01,8.712712774872141686e-02
3.181818181818182323e-01,7.801461233498989678e-01,1.295685107922270873e+00,-1.371739610945980736e+00,9.824706240565072024e-01,-2.598548365701497942e-01,-5.510505406208315859e-01,-1.175195669137878651e+00,-1.400813587165777641e+00,-1.151257972243869832e+00,5.110378864473706928e-01
3.282828282828283983e-01,7.436098213673508761e-01,1.260179230694509434e+00,-1.391972026355719816e+00,1.098710485254408287e+00,-4.698824521185287484e-01,-3.025586544197937933e-01,-9.827749688256312011e-01,-1.363033008319758155e+00,-1.327130995059770502e+00,8.859024049387169697e-01
3.383838383838384534e-01,7.063541249079060558e-01,1.219797964834663295e+00,-1.400092469918386096e+00,1.197964001878660145e+00,-6.685675185256946262e-01,-4.355905635434407369e-02,-7.439464955742697283e-01,-1.241286867913458325e+00,-1.399676094664903836e+00,1.175743516545479483e+00
3.484848484848485084e-01,6.684150764517662324e-01,1.174697537615586818e+00,-1.396030283185418552e+00,1.278696689225460537e+00,-8.511139530284193011e-01,2.169533261136372959e-01,-4.699880066625393704e-01,-1.043074971883058311e+00,-1.363245046046648090e+00,1.352744072757118499e+00
3.585858585858586745e-01,6.298293795780618431e-01,1.125052433828663601e+00,-1.379820812478744330e+00,1.339660399339523300e+00,-1.013115245244024853e+00,4.699310272709838476e-01,-1.738361394198929544e-01,-7.806075697651001510e-01,-1.220674302131004918e+00,1.399916660258490264e+00
3.686868686868687295e-01,5.906343634565027756e-01,1.071054720736034582e+00,-1.351605101331671444e+00,1.379912617700072897e+00,-1.150660826455571550e+00,7.065882571458966810e-01,1.305244717801305465e-01,-4.700531788849825476e-01,-9.830641528925599948e-01,1.312733947281943481e+00
