# Energy Eigenvalues:,2.827029,10.796689
# Position x, Psi 1,Psi 2
-6.471471471471471615e-01,1.923247121883514543e-01,-4.537971339641451163e-01
-6.441441441441441151e-01,1.957396910681491464e-01,-4.596891008164316617e-01
-6.411411411411411798e-01,1.992152969164193710e-01,-4.656573721101772145e-01
-6.381381381381381335e-01,2.027526062416883934e-01,-4.717029385271442332e-01
-6.351351351351350871e-01,2.063527146640612708e-01,-4.778268035794185908e-01
-6.321321321321321518e-01,2.100167372545712341e-01,-4.840299837759846069e-01
-6.291291291291291055e-01,2.137458088805571921e-01,-4.903135087914652912e-01
-6.261261261261261701e-01,2.175410845571649210e-01,-4.966784216370291327e-01
-6.231231231231231238e-01,2.214037398050938688e-01,-5.031257788335233849e-01
-6.201201201201200774e-01,2.253349710146955176e-01,-5.096566505868507235e-01
-6.171171171171171421e-01,2.293359958165348822e-01,-5.162721209656147003e-01
-6.141141141141140958e-01,2.334080534585293298e-01,-5.229732880810631368e-01
-6.111111111111111605e-01,2.375524051897833777e-01,-5.297612642693637630e-01
-6.081081081081081141e-01,2.417703346512403151e-01,-5.366371762762466302e-01
-6.051051051051050678e-01,2.460631482732678899e-01,-5.436021654440336137e-01
-6.021021021021021324e-01,2.504321756803034038e-01,-5.506573879010943084e-01
-5.990990990990990861e-01,2.548787701026774544e-01,-5.578040147537438598e-01
-5.960960960960961508e-01,2.594043087957560445e-01,-5.650432322806419050e-01
-5.930930930930931044e-01,2.640101934665213257e-01,-5.723762421297045044e-01
-5.900900900900900581e-01,2.686978507077255607e-01,-5.798042615175654779e-01
-5.870870870870871228e-01,2.734687324397536701e-01,-5.873285234316262260e-01
-5.840840840840840764e-01,2.783243163603316694e-01,-5.949502768347222359e-01
-5.810810810810811411e-01,2.832661064022179431e-01,-6.026707868724413553e-01
-5.780780780780780947e-01,2.882956331990170762e-01,-6.104913350831197016e-01
-5.750750750750750484e-01,2.934144545592717312e-01,-6.184132196105757151e-01
-5.720720720720721131e-01,2.986241559489645203e-01,-6.264377554195875719e-01
-5.690690690690690667e-01,3.039263509825852472e-01,-6.345662745141570360e-01
-5.660660660660660204e-01,3.093226819229217828e-01,-6.428001261586159254e-01
-5.630630630630630851e-01,3.148148201897237874e-01,-6.511406771015953998e-01
-5.600600600600600387e-01,3.204044668773995963e-01,-6.595893118029007018e-01
-5.570570570570571034e-01,3.260933532818932612e-01,-6.681474326633060068e-01
-5.540540540540540571e-01,3.318832414369298212e-01,-6.768164602573525368e-01
-5.510510510510510107e-01,3.377759246597704101e-01,-6.855978335691443881e-01
-5.480480480480480754e-01,3.437732281066618323e-01,-6.944930102312079079e-01
-5.450450450450450290e-01,3.498770093381471935e-01,-7.035034667664472607e-01
-5.420420420420420937e-01,3.560891588944134489e-01,-7.126306988332355985e-01
-5.390390390390390474e-01,3.624116008808522804e-01,-7.218762214736785809e-01
-5.360360360360360010e-01,3.688462935640247631e-01,-7.312415693651118653e-01
-5.330330330330330657e-01,3.753952299781922464e-01,-7.407282970748276796e-01
-5.300300300300300194e-01,3.820604385426251137e-01,-7.503379793181214064e-01
-5.270270270270270840e-01,3.888439836898724966e-01,-7.600722112196863778e-01
-5.240240240240240377e-01,3.957479665051857887e-01,-7.699326085783918527e-01
-5.210210210210209913e-01,4.027745253772879175e-01,-7.799208081354819244e-01
-5.180180180180180560e-01,4.099258366607112514e-01,-7.900384678462789578e-01
-5.150150150150150097e-01,4.172041153498758370e-01,-8.002872671553697970e-01
-5.120120120120120744e-01,4.246116157651485534e-01,-8.106689072753858749e-01
-5.090090090090090280e-01,4.321506322510834663e-01,-8.211851114693976550e-01
-5.060060060060059817e-01,4.398234998870511614e-01,-8.318376253369524909e-01
-5.030030030030030463e-01,4.476325952104910355e-01,-8.426282171038343982e-01
-5.000000000000000000e-01,4.555803369530000979e-01,-8.535586779155684978e-01
-4.969969969969969537e-01,4.636691867895016417e-01,-8.646308221347531742e-01
-4.939939939939939073e-01,4.717343948502039641e-01,-8.755345970769961017e-01
-4.909909909909910830e-01,4.797755499026008508e-01,-8.862678794537682814e-01
-4.879879879879880367e-01,4.877922419406150456e-01,-8.968285791765088222e-01
-4.849849849849849903e-01,4.957840622054961455e-01,-9.072146397636109416e-01
-4.819819819819819440e-01,5.037506032066731976e-01,-9.174240387409021702e-01
-4.789789789789788976e-01,5.116914587425243077e-01,-9.274547880354634399e-01
-4.759759759759760733e-01,5.196062239210907929e-01,-9.373049343627730678e-01
-4.729729729729730270e-01,5.274944951807190030e-01,-9.469725596070609486e-01
-4.699699699699699806e-01,5.353558703106344741e-01,-9.564557811948205535e-01
-4.669669669669669343e-01,5.431899484714614035e-01,-9.657527524614194503e-01
-4.639639639639638879e-01,5.509963302156494214e-01,-9.748616630106814451e-01
-4.609609609609610636e-01,5.587746175078489586e-01,-9.837807390674377928e-01
-4.579579579579580173e-01,5.665244137452017936e-01,-9.925082438229260173e-01
-4.549549549549549710e-01,5.742453237775672070e-01,-1.001042477773004924e+00
-4.519519519519519246e-01,5.819369539276664227e-01,-1.009381779049092431e+00
-4.489489489489488783e-01,5.895989120111549964e-01,-1.017524523741778930e+00
-4.459459459459460540e-01,5.972308073566241493e-01,-1.025469126217058768e+00
-4.429429429429430076e-01,6.048322508255202790e-01,-1.033214039425100372e+00
-4.399399399399399613e-01,6.124028548319807586e-01,-1.040757755201491941e+00
-4.369369369369369149e-01,6.199422333625969062e-01,-1.048098804560927189e+00
