# Energy Eigenvalues:,3.108855,12.108395,25.334644
# Position x, Psi 1,Psi 2,Psi 3
-9.564564564564564941e-01,1.405092836970221228e-02,5.023418587959883885e-02,2.420712051549645527e-01
-9.534534534534534478e-01,1.436400174285308758e-02,5.114733275039214100e-02,2.444652759225507399e-01
-9.504504504504504014e-01,1.468404180250031110e-02,5.207698455617620209e-02,2.468799171248256263e-01
-9.474474474474474661e-01,1.501120377131806918e-02,5.302344128996734629e-02,2.493153319408262791e-01
-9.444444444444444198e-01,1.534564632617869961e-02,5.398700836763044991e-02,2.517717252975771314e-01
-9.414414414414414845e-01,1.568753167511257804e-02,5.496799672643486179e-02,2.542493038873333000e-01
-9.384384384384384381e-01,1.603702563598058406e-02,5.596672292539169730e-02,2.567482761849716466e-01
-9.354354354354353918e-01,1.639429771689761631e-02,5.698350924740605561e-02,2.592688524655352711e-01
-9.324324324324324564e-01,1.675952119844560662e-02,5.801868380327536434e-02,2.618112448219250821e-01
-9.294294294294294101e-01,1.713287321771654256e-02,5.907258063756936489e-02,2.643756671827491300e-01
-9.264264264264264748e-01,1.751453485422545947e-02,6.014553983642318552e-02,2.669623353303189339e-01
-9.234234234234234284e-01,1.790469121773623218e-02,6.123790763728255426e-02,2.695714669188121748e-01
-9.204204204204203821e-01,1.830353153804134200e-02,6.235003654063119710e-02,2.722032814925820499e-01
-9.174174174174174468e-01,1.871124925674037126e-02,6.348228542374115269e-02,2.748580005046328267e-01
-9.144144144144144004e-01,1.912804212106122143e-02,6.463501965648058012e-02,2.775358473352548816e-01
-9.114114114114114651e-01,1.955411227976944916e-02,6.580861121921603718e-02,2.802370473108197757e-01
-9.084084084084084187e-01,1.998966638121237038e-02,6.700343882284807984e-02,2.829618277227389789e-01
-9.054054054054053724e-01,2.043491567354557489e-02,6.821988803101881882e-02,2.857104178465887934e-01
-9.024024024024024371e-01,2.089007610719067695e-02,6.945835138453189395e-02,2.884830489614065296e-01
-8.993993993993993907e-01,2.135536843957340503e-02,7.071922852802277337e-02,2.912799543691503290e-01
-8.963963963963964554e-01,2.183101834219298293e-02,7.200292633892095562e-02,2.941013694143268520e-01
-8.933933933933934091e-01,2.231725651007529856e-02,7.330985905874759512e-02,2.969475315037982677e-01
-8.903903903903903627e-01,2.281431877366235997e-02,7.464044842678875524e-02,2.998186801267579416e-01
-8.873873873873874274e-01,2.332244621319208219e-02,7.599512381618700463e-02,3.027150568748781523e-01
-8.843843843843843811e-01,2.384188527562505072e-02,7.737432237249876332e-02,3.056369054626432713e-01
-8.813813813813813347e-01,2.437288789417372745e-02,7.877848915475835212e-02,3.085844717478568033e-01
-8.783783783783783994e-01,2.491571161049220204e-02,8.020807727909451401e-02,3.115580037523234536e-01
-8.753753753753753530e-01,2.547061969958726302e-02,8.166354806495075558e-02,3.145577516827283149e-01
-8.723723723723724177e-01,2.603788129750909952e-02,8.314537118394903226e-02,3.175839679516860303e-01
-8.693693693693693714e-01,2.661777153188470135e-02,8.465402481144919389e-02,3.206369071989763619e-01
-8.663663663663663250e-01,2.721057165535776048e-02,8.618999578085374813e-02,3.237168263129730494e-01
-8.633633633633633897e-01,2.781656918199915465e-02,8.775377974070652787e-02,3.268239844522609072e-01
-8.603603603603603434e-01,2.843605802675417196e-02,8.934588131463531979e-02,3.299586430674427140e-01
-8.573573573573574080e-01,2.906933864799420356e-02,9.096681426419074568e-02,3.331210659231377269e-01
-8.543543543543543617e-01,2.971671819324213371e-02,9.261710165463427069e-02,3.363115191201774823e-01
-8.513513513513513153e-01,3.037851064814169055e-02,9.429727602372704742e-02,3.395302711179920552e-01
-8.483483483483483800e-01,3.105503698874405305e-02,9.600787955357781289e-02,3.427775927572045966e-01
-8.453453453453453337e-01,3.174662533718435042e-02,9.774946424560154723e-02,3.460537572824194386e-01
-8.423423423423423984e-01,3.245361112082438548e-02,9.952259209864730560e-02,3.493590403652155341e-01
-8.393393393393393520e-01,3.317633723493806225e-02,1.013278352903511231e-01,3.526937201273404598e-01
-8.363363363363363057e-01,3.391515420901913824e-02,1.031657763617746110e-01,3.560580771641138065e-01
-8.333333333333333703e-01,3.467042037679167465e-02,1.050370084053875441e-01,3.594523945680380139e-01
-8.303303303303303240e-01,3.544250205000532700e-02,1.069421352564546568e-01,3.628769579526174294e-01
-8.273273273273273887e-01,3.623177369610052628e-02,1.088817716878905800e-01,3.663320554763939696e-01
-8.243243243243243423e-01,3.703861811982907259e-02,1.108565436086434014e-01,3.698179778671950024e-01
-8.213213213213212960e-01,3.786342664891768905e-02,1.128670882656699209e-01,3.733350184465896726e-01
-8.183183183183183607e-01,3.870659932386657370e-02,1.149140544495732830e-01,3.768834731545775418e-01
-8.153153153153153143e-01,3.956854509197289815e-02,1.169981027039632415e-01,3.804636405744875605e-01
-8.123123123123122680e-01,4.044968200567426730e-02,1.191199055386089889e-01,3.840758219581015265e-01
-8.093093093093093326e-01,4.135043742530849359e-02,1.212801476464545058e-01,3.877203212510033081e-01
-8.063063063063062863e-01,4.227124822638794049e-02,1.234795261245656001e-01,3.913974451181572722e-01
-8.033033033033033510e-01,4.321256101148807788e-02,1.257187506990772585e-01,3.951075029697070917e-01
-8.003003003003003046e-01,4.417483232685463085e-02,1.279985439542191961e-01,3.988508069870148054e-01
-7.972972972972972583e-01,4.515852888383251745e-02,1.303196415654876150e-01,4.026276721489233656e-01
-7.942942942942943230e-01,4.616412778522700072e-02,1.326827925370471783e-01,4.064384162582732052e-01
-7.912912912912912766e-01,4.719211675670226952e-02,1.350887594434271310e-01,4.102833599686337429e-01
-7.882882882882883413e-01,4.824299438333289058e-02,1.375383186755981813e-01,4.141628268112808597e-01
-7.852852852852852950e-01,4.931727035142375454e-02,1.400322606915121448e-01,4.180771432224296702e-01
-7.822822822822822486e-01,5.041546569571245945e-02,1.425713902711765457e-01,4.220266385706976653e-01
-7.792792792792793133e-01,5.153811305207665200e-02,1.451565267763524625e-01,4.260116451848202646e-01
-7.762762762762762669e-01,5.268575691586793730e-02,1.477885044149581106e-01,4.300324983816160018e-01
-7.732732732732733316e-01,5.385895390599734767e-02,1.504681725102619272e-01,4.340895364941985135e-01
-7.702702702702702853e-01,5.505827303490151009e-02,1.531963957749547800e-01,4.381831009004490407e-01
-7.672672672672672389e-01,5.628429598451909627e-02,1.559740545901868169e-01,4.423135360517381764e-01
-7.642642642642643036e-01,5.753761738841201706e-02,1.588020452896596879e-01,4.464811895019062393e-01
-7.612612612612612573e-01,5.881884512017018785e-02,1.616812804488722277e-01,4.506864119365195931e-01
-7.582582582582582109e-01,6.012860058823567971e-02,1.646126891796009517e-01,4.549295572023733247e-01
-7.552552552552552756e-01,6.146751903729125166e-02,1.675972174297166162e-01,4.592109823372592103e-01
-7.522522522522522292e-01,6.283624985636068749e-02,1.706358282884362643e-01,4.635310476000095714e-01
-7.492492492492492939e-01,6.423545689377023471e-02,1.737295022971097336e-01,4.678901165008208518e-01
-7.462462462462462476e-01,6.566581877912158749e-02,1.768792377656337178e-01,4.722885558318390964e-01
-7.432432432432432012e-01,6.712802925243287200e-02,1.800860510945971049e-01,4.767267356980143256e-01
-7.402402402402402659e-01,6.862279750061039962e-02,1.833509771032694191e-01,4.812050295482486195e-01
-7.372372372372372196e-01,7.015084850141112272e-02,1.866750693635295111e-01,4.857238142068177611e-01
-7.342342342342342842e-01,7.171292337506483816e-02,1.900594005398490993e-01,4.902834699050830913e-01
-7.312312312312312379e-01,7.330977974372500372e-02,1.935050627354343022e-01,4.948843803134855279e-01
-7.282282282282281916e-01,7.494219209892236111e-02,1.970131678446393753e-01,4.995269325738241339e-01
-7.252252252252252562e-01,7.661095217720181871e-02,2.005848479117693650e-01,5.042115173318364452e-01
-7.222222222222222099e-01,7.831686934412224188e-02,2.042212554963832305e-01,5.089385287700660676e-01
-7.192192192192192746e-01,8.006077098680847159e-02,2.079235640452212763e-01,5.137083646410406379e-01
-7.162162162162162282e-01,8.184350291524053467e-02,2.116929682708649507e-01,5.185214263007287272e-01
-7.132132132132131819e-01,8.366592977248026031e-02,2.155306845372631508e-01,5.233781187423117709e-01
-7.102102102102102466e-01,8.552893545403253417e-02,2.194379512522478259e-01,5.282788506302671383e-01
-7.072072072072072002e-01,8.743342353654412480e-02,2.234160292671612813e-01,5.332240343347580680e-01
-7.042042042042042649e-01,8.938031771604731945e-02,2.274662022837255493e-01,5.382140859663309129e-01
-7.012012012012012185e-01,9.137056225596071335e-02,2.315897772682816713e-01,5.432494254109215825e-01
-6.981981981981981722e-01,9.340512244506714301e-02,2.357880848735417201e-01,5.483304763651907221e-01
-6.951951951951952369e-01,9.548498506568789401e-02,2.400624798679803773e-01,5.534576663721710865e-01
-6.921921921921921905e-01,9.761115887228412336e-02,2.444143415730160307e-01,5.586314268572553088e-01
-6.891891891891891442e-01,9.978467508071102443e-02,2.488450743081040972e-01,5.638521931644864260e-01
-6.861861861861862089e-01,1.020065878683698163e-01,2.533561078439072189e-01,5.691204045931995692e-01
-6.831831831831831625e-01,1.042779748854930355e-01,2.579488978636700347e-01,5.744365044349798444e-01
-6.801801801801802272e-01,1.065999377778157203e-01,2.626249264329589272e-01,5.798009400109604972e-01
-6.771771771771771808e-01,1.089736027208850072e-01,2.673857024779163205e-01,5.852141627094658016e-01
-6.741741741741741345e-01,1.114001209662672659e-01,2.722327622721836260e-01,5.906766280239950095e-01
-6.711711711711711992e-01,1.138806693999166175e-01,2.771676699326467430e-01,5.961887955915488035e-01
-6.681681681681681528e-01,1.164164511129762575e-01,2.821920179241665383e-01,6.017511292313043603e-01
-6.651651651651652175e-01,1.190086959852905968e-01,2.873074275734594507e-01,6.073640969836460179e-01
-6.621621621621621712e-01,1.216586612819079288e-01,2.925155495922860949e-01,6.130281711495414454e-01
